id,name,source
.BCOM,Bloomberg Commodity Index,REUTERS
.BCOMAG,Bloomberg Commodity Agriculture,REUTERS
.TRCCRB,Reuters Commodity Index,REUTERS
XAU=,Gold,REUTERS
LCOc1,Oil,REUTERS
HG COPPER CON1,Copper,REUTERS
.UX100,BIST 100_TURKEY Stock Market Index,REUTERS
.UX030,BIST 30_TURKEY Stock Market Index,REUTERS
TRY=,USD / TRY,REUTERS
EURTRY=R,EUR / TRY,REUTERS
TRCBREPO,Repo Rate,REUTERS
CBTONDEPO,Overnight Rate,REUTERS
TRY2YT=RR,2-Years Benchmark Bond Returns,REUTERS
TRY5YT=RR,5-Years Benchmark Bond Returns,REUTERS
TRY10YT=RR,10-Years Benchmark Bond Returns,REUTERS
CDSTRGV5Y,2-Years CDS Rates,REUTERS
CDSTRGV10Y,5-Years CDS Rates,REUTERS
CDSTRGV2Y,10-Years CDS Rates,REUTERS
.BVSP,BOVESPA,REUTERS
BRL=,USD / BRL,REUTERS
EURBRL=R,EUR / BRL,REUTERS
BR2YT=RR,2-Years Benchmark Bond Returns,REUTERS
BR5YT=RR,5-Years Benchmark Bond Returns,REUTERS
BR10YT=RR,10-Years Benchmark Bond Returns,REUTERS
BRGV2YUSAC=R,2-Years CDS Rates,REUTERS
BRGV5YUSAC=R,5-Years CDS Rates,REUTERS
BRGV10YUSAC=R,10-Years CDS Rates,REUTERS
.SSEC,Shanghai Composite Stock Exchange_China Stock Market Index,REUTERS
CNY=,USD / CNY,REUTERS
EURCNY=,EUR / CNY,REUTERS
CN2YT=RR,2-Years Benchmark Bond Returns,REUTERS
CN5YT=RR,5-Years Benchmark Bond Returns,REUTERS
CN10YT=RR,10-Years Benchmark Bond Returns,REUTERS
CNGV2YUSAC=R,2-Years CDS Rates,REUTERS
CNGV5YUSAC=R,5-Years CDS Rates,REUTERS
CNGV10YUSAC=R,10-Years CDS Rates,REUTERS
.BSESN,BSE SENSEX _India Stock Market Index,REUTERS
INR=,USD / INR,REUTERS
EURINR=R,EUR / INR,REUTERS
IN2YT=RR,2-Years Benchmark Bond Returns,REUTERS
IN5YT=RR,5-Years Benchmark Bond Returns,REUTERS
IN10YT=RR,10-Years Benchmark Bond Returns,REUTERS
INGV2YUSAC=R,2-Years CDS Rates,REUTERS
INGV5YUSAC=R,5-Years CDS Rates,REUTERS
INGV10YUSAC=R,10-Years CDS Rates,REUTERS
.IMOEX,MOEX_Russia,REUTERS
RUB=,USD / RUB,REUTERS
EURRUB=,EUR / RUB,REUTERS
RU2YT=RR,2-Years Benchmark Bond Returns,REUTERS
RU5YT=RR,5-Years Benchmark Bond Returns,REUTERS
RU10YT=RR,10-Years Benchmark Bond Returns,REUTERS
RUGV2YUSAC=R,2-Years CDS Rates,REUTERS
RUGV5YUSAC=R,5-Years CDS Rates,REUTERS
RUGV10YUSAC=R,10-Years CDS Rates,REUTERS
.JALSH,FTSE/JSE Africa All Share_South Africa,REUTERS
ZAR=,USD / ZAR,REUTERS
EURZAR=R,EUR / ZAR,REUTERS
ZA2YT=RR,2-Years Benchmark Bond Returns,REUTERS
ZA5YT=RR,5-Years Benchmark Bond Returns,REUTERS
ZA10YT=RR,10-Years Benchmark Bond Returns,REUTERS
ZAGV2YUSAC=R,2-Years CDS Rates,REUTERS
ZAGV5YUSAC=R,5-Years CDS Rates,REUTERS
ZAGV10YUSAC=R,10-Years CDS Rates,REUTERS
