cmn_code,country_sub_continent_code,,
AF,34,update cmn_region set sub_continent_id=34 where id='AF';,"('AF',"
AL,39,update cmn_region set sub_continent_id=39 where id='AL';,"('AF','AL',"
DZ,15,update cmn_region set sub_continent_id=15 where id='DZ';,"('AF','AL','DZ',"
AO,17,update cmn_region set sub_continent_id=17 where id='AO';,"('AF','AL','DZ','AO',"
AR,5,update cmn_region set sub_continent_id=5 where id='AR';,"('AF','AL','DZ','AO','AR',"
AM,145,update cmn_region set sub_continent_id=145 where id='AM';,"('AF','AL','DZ','AO','AR','AM',"
AU,53,update cmn_region set sub_continent_id=53 where id='AU';,"('AF','AL','DZ','AO','AR','AM','AU',"
AT,155,update cmn_region set sub_continent_id=155 where id='AT';,"('AF','AL','DZ','AO','AR','AM','AU','AT',"
AZ,145,update cmn_region set sub_continent_id=145 where id='AZ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ',"
BH,145,update cmn_region set sub_continent_id=145 where id='BH';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH',"
BD,34,update cmn_region set sub_continent_id=34 where id='BD';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD',"
BY,151,update cmn_region set sub_continent_id=151 where id='BY';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY',"
BE,155,update cmn_region set sub_continent_id=155 where id='BE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE',"
BJ,11,update cmn_region set sub_continent_id=11 where id='BJ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ',"
BT,34,update cmn_region set sub_continent_id=34 where id='BT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT',"
BO,5,update cmn_region set sub_continent_id=5 where id='BO';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO',"
BA,39,update cmn_region set sub_continent_id=39 where id='BA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA',"
BW,18,update cmn_region set sub_continent_id=18 where id='BW';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW',"
BR,5,update cmn_region set sub_continent_id=5 where id='BR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR',"
BG,151,update cmn_region set sub_continent_id=151 where id='BG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG',"
BF,11,update cmn_region set sub_continent_id=11 where id='BF';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF',"
BI,14,update cmn_region set sub_continent_id=14 where id='BI';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI',"
KH,35,update cmn_region set sub_continent_id=35 where id='KH';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH',"
CM,17,update cmn_region set sub_continent_id=17 where id='CM';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM',"
CA,21,update cmn_region set sub_continent_id=21 where id='CA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA',"
CV,11,update cmn_region set sub_continent_id=11 where id='CV';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV',"
CF,17,update cmn_region set sub_continent_id=17 where id='CF';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF',"
TD,17,update cmn_region set sub_continent_id=17 where id='TD';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD',"
